University, QS_rating, The_cost_of_training_for_1_year, Students_enrolled_in_one_year, Number_of_professors, Employment_rate(%)
KazNU,0.0,0.03658536585365853,1.0,1.0,1.0
KBTU,0.8073217726396917,0.42682926829268286,0.019783873649210304,0.0,0.5769230769230771
NU,0.325626204238921,0.9999999999999999,0.0,0.12171837708830552,0.3846153846153846
SDU,1.0,0.11829268292682925,0.10989193682460513,0.07780429594272079,0.0
ENU,0.15221579961464354,0.0646341463414634,0.46729010806317534,0.7436754176610979,0.0
Satbayev,0.23314065510597304,0.03797317073170732,0.17410640066500416,0.6276849642004774,0.3846153846153846
KazNPU,0.48940269749518306,0.040243902439024384,0.2160016625103907,0.20763723150357996,0.5769230769230771
ATU,0.7591522157996147,0.0,0.1063175394846218,0.09451073985680192,0.3846153846153846
